Qty	Part number	For
-3	RP2040				U3
-2	W25Q128JVSIQ			U4 (flash)
-2	NCP1117ST33T3G			U1 (regulator, as designed)
-2	TLV1117-33IDCYR			U1 alternate (ceramic-stable)
-2	USBLC6-2SC6			U2 (USB ESD)
-2	SN74AHCT1G125DBVR		U5 (RGB buffer)
-5	BSS138-7-F			Q1, Q2
-25	1N4148W-7-F			D1-D18
-2	ABM8G-12.000MHZ-18-D2Y-T	Y1 (crystal)
-50	CL10B104KB8NNNC			100nF, 0603 ---------CL10B104JB8NNNC
-10	CL10B105KB8NNNC			1µF, 0603 (C3, C5, C11) ----------GRM188R71C105KA12D==0603YC105KAT2A
-10	GRM21BR61E106KA73L		10µF, 0805 (C1, C2) -------C2012X5R1E106K085AC
-10	CL10C270JB8NNNC			27pF C0G, 0603 (C15, C16)
***-10	GRM21BR61A226ME51L		22µF, 0805 (C35, C36)
-10	RC0603FR-075K1L			5.1k (R1, R2)
-10	RC0603FR-0710KL			10k (R3, R4)
-10	RC0603FR-071KL			1k (R5, R8)
-10	RC0603FR-0727RL			27Ω (R6, R7)
-10	RC0603FR-07470RL		470Ω (R9)
-10	RC0603FR-074K7L			4.7k (R10, R11) ----AR0603FR-074K7L
-5	PTS645SM43SMTR92LFS		SW1, SW2
-1	EC11E15244G1  w/switch, 20mm shaft	SW3 (e.g. Alps EC11E15244AZ)
-1	PREC003SAAN-RC 1×3 2.54mm pin header		J2 (SWD)
-1	PREC004SAAN-RC 1×4 2.54mm pin header		J3 (LCD)
